,Kingdom,Phylum,Class,Order,Family
78,Metazoa,Cnidaria,Hydrozoa,Leptothecata,Leptothecata
79,Metazoa,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae
80,Metazoa,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae
81,Rhodophyta,Rhodophyta,Rhodophyta,Rhodophyta,Rhodophyta
82,Rhodophyta,Rhodophyta,Florideophyceae,Florideophyceae,Florideophyceae
83,Rhodophyta,Rhodophyta,Florideophyceae,Florideophyceae,Florideophyceae
84,Rhodophyta,Rhodophyta,Florideophyceae,Gracilariales,Gracilariaceae
85,Diatoms,Bacillariophyta,Bacillariophyta,Bacillariophyta,Bacillariophyta
86,Diatoms,Bacillariophyta,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae
87,Diatoms,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae
88,Diatoms,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae
89,Diatoms,Bacillariophyta,Coscinodiscophyceae,Coscinodiscophyceae,Coscinodiscophyceae
90,Diatoms,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotales
91,Diatoms,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae
92,Diatoms,Bacillariophyta,Coscinodiscophyceae,Coscinodiscophyceae,Coscinodiscophyceae
93,Diatoms,Bacillariophyta,Coscinodiscophyceae,Melosirales,Melosirales
94,Diatoms,Bacillariophyta,Coscinodiscophyceae,Melosirales,Melosiraceae
95,Diatoms,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosirales
96,Diatoms,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae
97,Diatoms,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae
98,Diatoms,Bacillariophyta,Mediophyceae,Mediophyceae,Mediophyceae
99,Diatoms,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae
100,Heterokonta,Ocrophyta,Dictyochophyceae,Dictyochophyceae,Dictyochophyceae
101,Heterokonta,Heterokonta,Oomycetes,Oomycetes,Oomycetes
102,Heterokonta,Heterokonta,Oomycetes,Pythiales,Pythiaceae
103,Heterokonta,Ocrophyta,Phaeophyceae,Phaeophyceae,Phaeophyceae
104,Heterokonta,Ocrophyta,Phaeophyceae,Ectocarpales,Ectocarpales
105,Heterokonta,Ocrophyta,Phaeophyceae,Ectocarpales,Chordariaceae
106,Heterokonta,Ocrophyta,Synurophyceae,Parmales,Triparmaceae
107,Viridiplantae,Chlorophyta,Chlorophyta,Chlorophyta,Chlorophyta
108,Viridiplantae,Chlorophyta,Mamiellophyceae,Mamiellophyceae,Mamiellophyceae
109,Viridiplantae,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae
110,Viridiplantae,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae
